zeit,Consumption_kWh,PV_kWh,Self_Consumed_kWh,Grid_Import_kWh,Grid_Export_kWh,Self_Sufficiency_Pct
2024-01-31,116.69800000000001,56.23933607592434,17.89106897187343,98.80693102812657,38.34826710405091,15.331084484629926
2024-02-29,144.758,85.029019996983,35.0989006913694,109.6590993086306,49.930119305613594,24.246605155756086
2024-03-31,202.42,180.95355543644612,43.69864880387754,158.72135119612247,137.25490663256858,21.588108291610286
2024-04-30,174.663,246.32780503124454,55.46387829462209,119.1991217053779,190.86392673662243,31.754795402931407
2024-05-31,157.892,246.16879759008927,73.15889211191839,84.7331078880816,173.00990547817088,46.33476814019608
2024-06-30,197.99699999999999,183.3022311561613,84.16449625193877,113.83250374806123,99.13773490422253,42.50796539944483
2024-07-31,142.145,237.09696292680124,71.03254175803366,71.11245824196635,166.0644211687676,49.97188909777597
2024-08-31,181.838,215.57552053513655,75.61313696143701,106.22486303856299,139.96238357369955,41.58269281527349
2024-09-30,244.951,160.11583803181227,84.05382908427218,160.89717091572783,76.0620089475401,34.31454825016929
2024-10-31,258.858,114.07371391346797,63.749162313220495,195.1088376867795,50.324551600247474,24.627078287408732
2024-11-30,236.929,80.56886134711654,51.234683862352114,185.6943161376479,29.334177484764425,21.62448829073356
2024-12-31,271.446,59.024357958816736,40.806392542833564,230.63960745716645,18.217965415983176,15.03296881988814
